"name"	"AAC(3)-IId 1/80 (1%)"	"AAC(6')-Iy 80/80 (100%)"	"aadA2 1/80 (1%)"	"ANT(3'')-IIa 1/80 (1%)"	"strA 61/80 (76%)"	"APH(3')-Ia 2/80 (2%)"	"strB 62/80 (78%)"	"arr-2 1/80 (1%)"	"avrA 80/80 (100%)"	"cmlA1 1/80 (1%)"	"blaCMY-59 3/80 (4%)"	"Col156_1 1/80 (1%)"	"ColpVC_1 5/80 (6%)"	"ColRNAI_1 1/80 (1%)"	"csgA 80/80 (100%)"	"csgB 80/80 (100%)"	"csgC 80/80 (100%)"	"csgD 80/80 (100%)"	"csgE 80/80 (100%)"	"csgF 80/80 (100%)"	"csgG 80/80 (100%)"	"blaCTX-M-55 1/80 (1%)"	"dfrA14 61/80 (76%)"	"fimC 80/80 (100%)"	"fimD 80/80 (100%)"	"fimF 80/80 (100%)"	"fimH 80/80 (100%)"	"fimI 80/80 (100%)"	"floR 11/80 (14%)"	"FosA7 80/80 (100%)"	"golS 80/80 (100%)"	"IncB/O/K/Z_1 1/80 (1%)"	"IncHI2_1 1/80 (1%)"	"IncHI2A_1 1/80 (1%)"	"IncI1_1_Alpha 9/80 (11%)"	"IncL/M(pMU407)_1_pMU407 1/80 (1%)"	"IncL/M(pOXA-48)_1_pOXA-48 1/80 (1%)"	"IncQ1_1 16/80 (20%)"	"IncX1_1 74/80 (92%)"	"invA 80/80 (100%)"	"invB 80/80 (100%)"	"invC 80/80 (100%)"	"invE 80/80 (100%)"	"invF 80/80 (100%)"	"invG 80/80 (100%)"	"invH 80/80 (100%)"	"invI 80/80 (100%)"	"invJ 80/80 (100%)"	"linG 1/80 (1%)"	"lpfA 80/80 (100%)"	"lpfB 80/80 (100%)"	"lpfC 80/80 (100%)"	"lpfE 80/80 (100%)"	"mdsA 80/80 (100%)"	"mdsB 80/80 (100%)"	"mdsC 80/80 (100%)"	"mdtK 80/80 (100%)"	"mgtB 80/80 (100%)"	"mgtC 80/80 (100%)"	"mig-14 80/80 (100%)"	"misL 79/80 (99%)"	"mphA 1/80 (1%)"	"orgA 79/80 (99%)"	"orgB 79/80 (99%)"	"orgC 79/80 (99%)"	"papB 2/80 (2%)"	"papI 2/80 (2%)"	"pipB 80/80 (100%)"	"pipB2 80/80 (100%)"	"prgH 79/80 (99%)"	"prgI 79/80 (99%)"	"prgJ 79/80 (99%)"	"prgK 79/80 (99%)"	"pSL483_1 1/80 (1%)"	"qacH 1/80 (1%)"	"QnrS1 74/80 (92%)"	"sdiA 80/80 (100%)"	"sicA 80/80 (100%)"	"sicP 80/80 (100%)"	"sifA 80/80 (100%)"	"sifB 80/80 (100%)"	"sinH 80/80 (100%)"	"sipA/sspA 80/80 (100%)"	"sipB/sspB 80/80 (100%)"	"sipC/sspC 80/80 (100%)"	"sipD 80/80 (100%)"	"slrP 80/80 (100%)"	"sopA 80/80 (100%)"	"sopB/sigD 80/80 (100%)"	"sopD 79/80 (99%)"	"sopD2 80/80 (100%)"	"sopE2 80/80 (100%)"	"spaO 80/80 (100%)"	"spaP 80/80 (100%)"	"spaQ 80/80 (100%)"	"spaR 80/80 (100%)"	"spaS 80/80 (100%)"	"spiC/ssaB 80/80 (100%)"	"sptP 80/80 (100%)"	"ssaC 80/80 (100%)"	"ssaD 80/80 (100%)"	"ssaE 80/80 (100%)"	"ssaG 79/80 (99%)"	"ssaH 79/80 (99%)"	"ssaI 79/80 (99%)"	"ssaJ 79/80 (99%)"	"ssaK 79/80 (99%)"	"ssaL 79/80 (99%)"	"ssaM 79/80 (99%)"	"ssaN 79/80 (99%)"	"ssaO 79/80 (99%)"	"ssaP 79/80 (99%)"	"ssaQ 79/80 (99%)"	"ssaR 79/80 (99%)"	"ssaS 79/80 (99%)"	"ssaT 80/80 (100%)"	"ssaU 80/80 (100%)"	"ssaV 79/80 (99%)"	"sscA 80/80 (100%)"	"sscB 80/80 (100%)"	"sseA 80/80 (100%)"	"sseB 80/80 (100%)"	"sseC 80/80 (100%)"	"sseD 80/80 (100%)"	"sseE 80/80 (100%)"	"sseF 74/80 (92%)"	"sseG 79/80 (99%)"	"sseJ 79/80 (99%)"	"sseK1 80/80 (100%)"	"sseL 80/80 (100%)"	"steA 80/80 (100%)"	"steB 80/80 (100%)"	"steC 80/80 (100%)"	"sul2 3/80 (4%)"	"sul3 64/80 (80%)"	"blaTEM-1 64/80 (80%)"	"tet(A) 74/80 (92%)"
"SAL_AB7534AA_AS"	0	1	1	0	1	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
"SAL_AB7542AA_AS"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
"SAL_AB7634AA_AS"	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
"SAL_AB8884AA_AS"	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
"SAL_BA7932AA_AS"	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
"SAL_BA8052AA_AS"	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
"SAL_BB1424AA_AS"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
"SAL_BB1915AA_AS"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
"SAL_BB2131AA_AS"	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
"SAL_BB2899AA_AS"	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0
