Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	Differences	ST	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC900 (ceBG)	HC2000 (Super-lineage)	HC2600	HC2850 (subsp.)
SAL_YA4218AA	PNUSAS084443	SRR9822560;ILLUMINA;Paired;;SRX6579252;;	SAL_YA4218AA								North America	United States											PulseNet Next Generation Subtyping Methods Unit			PRJNA230403	SRP040281	SAMN12349417	SRS5145040	2019-07-24	2019-07-24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_ZA3468AA	FSIS11924367	SRR10156138;ILLUMINA;Paired;500;SRX6881554;;	SAL_ZA3468AA	Livestock	Swine	animal-swine-market swine	2019				North America	United States	Iowa						Agona	I			USDA FSIS			PRJNA292666	SRP062916	SAMN12798131	SRS5416419	2019-09-21	2019-09-20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_ZA5835AA	19GA07GT04	SRR10233300;ILLUMINA;Paired;;SRX6952539;;	SAL_ZA5835AA	Poultry	Poultry	ground turkey	2019	9			North America	United States	Georgia										PulseNet Next Generation Subtyping Methods Unit			PRJNA292661	SRP063697	SAMN12916008	SRS5480085	2019-10-05	2019-10-04	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_ZA5865AA	810117	SRR10232179;ILLUMINA;Paired;;SRX6951478;;	SAL_ZA5865AA	Human	Human	Homo sapiens; human	2019	9			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN12915394	SRS5479045	2019-10-06	2019-10-05	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_ZA8088AA	821151	SRR10302523;ILLUMINA;Paired;;SRX7015141;;	SAL_ZA8088AA	Human	Human	Homo sapiens; human	2019	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN13050917	SRS5535685	2019-10-18	2019-10-18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_ZA8167AA	820102	SRR10294389;ILLUMINA;Paired;;SRX7007220;;	SAL_ZA8167AA	Human	Human	Homo sapiens; human	2019	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN13041915	SRS5528390	2019-10-18	2019-10-17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_ZA8785AA	06-04441	ERR3581747;ILLUMINA;Paired;500;ERX3578895;;	SAL_ZA8785AA	Animal Feed	Plant	feed	2006				Europe	Germany							Agona	I			EBI			PRJEB31846	ERP114456	SAMEA6058413	ERS3859543	2019-10-18	2019-10-09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_ZA8938AA	18-SA02593	ERR3581594;ILLUMINA;Paired;500;ERX3578742;;	SAL_ZA8938AA	Food	ND/Others	food	2018				Europe	Germany							Agona	I			EBI			PRJEB31846	ERP114456	SAMEA6058260	ERS3859390	2019-10-18	2019-10-09	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_AB0604AA	823430	SRR10313656;ILLUMINA;Paired;;SRX7024786;;	SAL_AB0604AA	Human	Human	Homo sapiens; human	2019	10			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN13064195	SRS5545533	2019-10-21	2019-10-20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_AB1553AA	FSIS11925766	SRR10360875;ILLUMINA;Paired;300;SRX7070009;;	SAL_AB1553AA	Livestock	Bovine	comminuted beef	2019				North America	United States	Illinois						Agona	I			USDA FSIS			PRJNA242847	SRP040648	SAMN13153653	SRS5586280	2019-10-30	2019-10-29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_CB8425AA	CVM 22432	SRR11457761;ILLUMINA;Paired;;SRX8035145;;	SAL_CB8425AA	Livestock	Bovine	bovine	2003				North America	United States	Arizona						['Agona',				FDA-CVM			PRJNA622256	SRP254729	SAMN14504592	SRS6407390	2020-04-02	2020-04-02	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
SAL_FA2756AA	CVM N57696F	SRR3295869;ILLUMINA;Paired;;SRX1662781;376865608;271	SAL_FA2756AA	ND	ND/Others	Hogs	2014				North America	United States	Iowa						Agona				Food and Drug Administration (US)			PRJNA292666	SRP062916	SAMN04577416	SRS1362092	2016-03-26	2016-03-25	NaN	2957	2957	2957	28	28	28	28	28	28	28	28	28	28	2
SAL_FA6175AA	FSIS1606410	SRR3476382;ILLUMINA;Paired;300;SRX1743006;364743824;131	SAL_FA6175AA	Livestock	Swine	animal-swine-sow	2016				North America	United States	Tennessee						Agona	I			Department of Agriculture - Food Safety and Inspection Service (US)			PRJNA292666	SRP062916	SAMN04942624	SRS1422255	2016-05-05	2016-05-04	NaN	38	38	38	28	28	28	28	28	28	28	28	28	28	2
SAL_FA6186AA	FSIS1606393	SRR3476371;ILLUMINA;Paired;300;SRX1742995;290073420;135	SAL_FA6186AA	Livestock	Swine	animal-swine-sow	2016				North America	United States	Kansas						Agona	I			Department of Agriculture - Food Safety and Inspection Service (US)			PRJNA292666	SRP062916	SAMN04942607	SRS1422242	2016-05-05	2016-05-04	NaN	28	28	28	28	28	28	28	28	28	28	28	28	28	2
