name	inc	EC_custom_Feb_2020_intI1_HQ730118.1	EC_custom_Feb_2020_merA_CP022086.1	EC_custom_Feb_2020_pcoA_KU248945.1	EC_custom_Feb_2020_silA_KU248945.1	EC_custom_Feb_2020_terA_CP019559.1	EC_custom_Feb_2020_traT_CP018978.1	p_IncA/C2	p_IncB/O/K/Z	p_IncFIA(HI1)	p_IncFII	p_IncFII(p96A)	p_IncFII(pCRY)	p_IncHI1A	p_IncHI1B(R27)	p_IncHI2	p_IncHI2A	p_IncI(Gamma)	p_IncI1(Alpha)	p_IncL/M(pMU407)	p_IncL/M(pOXA-48)	p_IncN	p_IncQ1	p_IncX1	p_IncY	r_aac(3)-IId	r_ant(3'')-IIa	r_aph(3')-Ia	r_aph(3')-IIa	r_arr-2	r_blaCMY-59	r_blaCTX-M-55	r_blaTEM-1	r_dfrA1	r_dfrA14	r_floR	r_fosA7	r_linG	r_mphA	r_qnrS1	r_strA	r_strB	r_sul1	r_sul2	r_sul3	r_tet(A)
SAL_AB6160AA_AS	p_IncX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAL_AB7534AA_AS	p_IncX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
SAL_AB7542AA_AS	p_IncX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1
SAL_AB7634AA_AS	p_IncX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
SAL_AB8884AA_AS	p_IncX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
SAL_BA7932AA_AS	p_IncX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
SAL_BA8052AA_AS	p_IncX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1
SAL_BB1956AA_AS	p_IncX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
SAL_BB2131AA_AS	p_IncX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAL_BB2967AA_AS	p_IncX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
