Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Bases;Average Length;Status)	Barcode	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic Formulas	Lab Contact	Phage Type	Comment	Bio Project ID	Project ID	Sample ID	Secondary Sample ID	Date Entered	Release Date	ST(Achtman 7 Gene MLST)	Assembly Barcode(Assembly stats)	ST(cgMLST V2 + HierCC V1)	HC0 (indistinguishable)(cgMLST V2 + HierCC V1)	HC2(cgMLST V2 + HierCC V1)	HC5(cgMLST V2 + HierCC V1)	HC10(cgMLST V2 + HierCC V1)	HC20(cgMLST V2 + HierCC V1)	HC50(cgMLST V2 + HierCC V1)	HC100(cgMLST V2 + HierCC V1)	HC200(cgMLST V2 + HierCC V1)	HC400(cgMLST V2 + HierCC V1)	HC900 (ceBG)(cgMLST V2 + HierCC V1)	HC2000 (Super-lineage)(cgMLST V2 + HierCC V1)	HC2600(cgMLST V2 + HierCC V1)	HC2850 (subsp.)(cgMLST V2 + HierCC V1)
SAL_CA0055AA	40256	SRR1968955;ILLUMINA;Paired;;SRX990792;155419050;95	SAL_CA0055AA	Human	Human	Human; Homo sapiens	2014	8			Europe	United Kingdom	England						Agona	I			Public Health England - Gastrointestinal Bacteria Reference Unit			PRJNA248792	SRP042645	SAMN03479053	SRS905558	2015-08-27	2015-04-12	13	SAL_BA7932AA_AS	29948	29948	29948	4181	477	419	29	29	28	28	28	28	28	2
SAL_CA4227AA	13381	SRR1965714;ILLUMINA;Paired;;SRX987564;228534336;96	SAL_CA4227AA	Human	Human	Human; Homo sapiens	2014	5			Europe	United Kingdom	England						Agona	I			Public Health England - Gastrointestinal Bacteria Reference Unit			PRJNA248792	SRP042645	SAMN03475822	SRS902359	2015-08-27	2015-04-12	13	SAL_BA8052AA_AS	26713	26713	7255	4181	477	419	29	29	28	28	28	28	28	2
SAL_EA7151AA	6494	SRR3049639;ILLUMINA;Paired;;SRX1498596;196897288;94	SAL_EA7151AA	Human	Human	Human; Homo sapiens					Europe	United Kingdom							Agona				Public Health England			PRJNA248792	SRP042645	SAMN04363922	SRS1220242	2015-12-23	2015-12-22	13	SAL_KA0676AA_AS	7676	7676	7255	4181	477	419	29	29	28	28	28	28	28	2
SAL_EA7459AA	21798	SRR3049312;ILLUMINA;Paired;;SRX1498269;205009694;97	SAL_EA7459AA	Human	Human	Human; Homo sapiens					Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN04363606	SRS1219915	2015-12-23	2015-12-22	13	SAL_KA0984AA_AS	7389	7389	7389	4181	477	419	29	29	28	28	28	28	28	2
SAL_EA7594AA	97249	SRR3049175;ILLUMINA;Paired;;SRX1498130;607309758;99	SAL_EA7594AA	Human	Human	Human; Homo sapiens					Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN04363415	SRS1219790	2015-12-23	2015-12-22	13	SAL_KA1119AA_AS	7255	7255	7255	4181	477	419	29	29	28	28	28	28	28	2
SAL_FA1103AA	PNUSAS001578	SRR3185118;ILLUMINA;Paired;;SRX1598381;555097098;239	SAL_FA1103AA	ND	ND						North America	United States							Agona (Predicted)				Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)			PRJNA230403	SRP040281	SAMN04490798	SRS1308361	2016-02-24	2016-02-24	13	SAL_KA4888AA_AS	4344	4344	4344	4181	477	419	29	29	28	28	28	28	28	2
SAL_FA1284AA	1601F29331	traces-0vctKDb;ILLUMINA;Paired;;NA;580772404;241	SAL_FA1284AA	Human			2016	1	25		Europe	Denmark							Agona (Predicted)				Mia Torpdahl							2016-03-02	2016-08-31	13	SAL_KA5244AA_AS	4181	4181	4181	4181	477	419	29	29	28	28	28	28	28	2
SAL_GA6910AA	A27	traces-0bmvPJZ;ILLUMINA;Paired;;NA;563917404;138,traces-0ePAkgz;ILLUMINA;Paired;;NA;588456576;144	SAL_GA6910AA	Human	Laboratory		2016	3	1		Oceania	Australia	New South Wales						Agona (Predicted)				Qinning Wang, CIDM-Public Health, ICPMR, NSW Health Pathology							2017-03-28	2017-09-30	13	SAL_RA1599AA_AS	67133	48269	48269	4181	477	419	29	29	28	28	28	28	28	2
SAL_GA6926AA	A44	traces-0vcuwgY;ILLUMINA;Paired;;NA;625214868;141,traces-0NSKbGw;ILLUMINA;Paired;;NA;;,traces-0HfQGTs;ILLUMINA;Paired;;NA;920907078;147	SAL_GA6926AA	Human	Laboratory		2016	3	1		Oceania	Australia	New South Wales						Agona (Predicted)				Qinning Wang, CIDM-Public Health, ICPMR, NSW Health Pathology							2017-03-28	2017-09-30	13	SAL_SA1324AA_AS	69317	48302	29948	4181	477	419	29	29	28	28	28	28	28	2
SAL_GA6945AA	A64	traces-0sbfbjO;ILLUMINA;Paired;;NA;405973440;146,traces-0wBDtRl;ILLUMINA;Paired;;NA;405973440;146,traces-0uFLpGX;ILLUMINA;Paired;;NA;;	SAL_GA6945AA	Human	Laboratory		2016	3	1		Oceania	Australia	New South Wales						Agona (Predicted)				Qinning Wang, CIDM-Public Health, ICPMR, NSW Health Pathology							2017-03-28	2017-09-30	13	SAL_SA1344AA_AS	69329	48291	7255	4181	477	419	29	29	28	28	28	28	28	2
SAL_GA7999AA	A06	traces-0trElED;ILLUMINA;Paired;;NA;622917658;139,traces-0olWnTQ;ILLUMINA;Paired;;NA;1173793270;145	SAL_GA7999AA	Human	Laboratory		2016	3	1		Oceania	Australia	New South Wales						Agona (Predicted)				Qinning Wang, CIDM-Public Health, ICPMR, NSW Health Pathology							2017-03-28	2017-09-30	13	SAL_RA1578AA_AS	67094	48269	48269	4181	477	419	29	29	28	28	28	28	28	2
SAL_HA1596AA	PNUSAS004707	SRR4449985;ILLUMINA;Paired;;SRX2268101;662107392;216	SAL_HA1596AA	ND	ND						North America	United States							Agona (Predicted)				Center for Diease Control and Prevention - Enteric Diseases Laboratory Branch (US)			PRJNA230403	SRP040281	SAMN05915014	SRS1759338	2016-10-27	2016-10-25	13	SAL_NA2865AA_AS	51775	51775	51775	4181	477	419	29	29	28	28	28	28	28	2
SAL_HA2436AA	FDA00010867	SRR4774256;ILLUMINA;Paired;500;SRX2312694;378414036;198	SAL_HA2436AA	Food	Plant	CHILLI POWDER	2016	10			Asia	Vietnam							Agona (Predicted)				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA186035	SRP018785	SAMN05951181	SRS1770531	2016-11-03	2015-01-01	13	SAL_OA4067AA_AS	54920	54920	54905	4181	477	419	29	29	28	28	28	28	28	2
SAL_HA2442AA	FDA00010869	SRR4774220;ILLUMINA;Paired;500;SRX2312688;203254920;162	SAL_HA2442AA	Food	Plant	CHILLI POWDER	2016	10			Asia	Vietnam							Agona (Predicted)				Food and Drug Administration - Center for Food Safety and Applied Nutrition (US)			PRJNA186035	SRP018785	SAMN05951184	SRS1770526	2016-11-03	2015-01-01	13	SAL_OA4072AA_AS	54905	54905	54905	4181	477	419	29	29	28	28	28	28	28	2
SAL_JA6451AA	344039	SRR5583181;ILLUMINA;Paired;;SRX2841094;418993440;97	SAL_JA6451AA	Human	Human	human; Homo sapiens	2017	2			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN07152369	SRS2214441	2017-05-23	2017-05-23	13	SAL_SA9246AA_AS	71295	71295	71295	4181	477	419	29	29	28	28	28	28	28	2
SAL_MA1146AA	MS170287	ERR2173667;ILLUMINA;Paired;500;ERX2230110;373023200;100	SAL_MA1146AA	Human	Human	Homo sapiens; Human	2017				Europe	Ireland							Agona	Subsp. I			University Hospital Galway			PRJEB18998	ERP020979	SAMEA104349009	ERS1973987	2017-10-15	2017-10-14	13	SAL_WA2841AA_AS	92525	92525	92525	4181	477	419	29	29	28	28	28	28	28	2
SAL_MA5696AA	ERS2000936	ERR2193140;ILLUMINA;Paired;500;ERX2249163;333292212;99	SAL_MA5696AA	Human	Human	Homo sapiens; human					Europe	Ireland							Agona	Subsp. I			University Hospital Galway			PRJEB18998	ERP020979	SAMEA104375958	ERS2000936	2017-11-14	2017-11-14	13	SAL_WA9926AA_AS	97197	97197	51775	4181	477	419	29	29	28	28	28	28	28	2
SAL_MA7310AA	PNUSAS027905	SRR6310288;ILLUMINA;Paired;;SRX3410566;438023040;192	SAL_MA7310AA								North America	United States											Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch			PRJNA230403	SRP040281	SAMN07988989	SRS2703801	2017-11-21	2017-11-20	13	SAL_XA1299AA_AS	98214	98214	98214	4181	477	419	29	29	28	28	28	28	28	2
SAL_MA8252AA	PNUSAS029164	SRR6330606;ILLUMINA;Paired;;SRX3430027;469185882;199	SAL_MA8252AA								North America	United States											Centers for Disease Control and Prevention Enteric Diseases Laboratory Branch			PRJNA230403	SRP040281	SAMN08100451	SRS2721452	2017-11-30	2017-11-29	13	SAL_XA3156AA_AS	99862	99862	99862	4181	477	419	29	29	28	28	28	28	28	2
SAL_PA6185AA	293056	SRR7157827;ILLUMINA;Paired;;SRX4077043;;	SAL_PA6185AA	Human	Human	human; Homo sapiens	2016	8			Europe	United Kingdom							Agona	I			Public Health England			PRJNA248792	SRP042645	SAMN09203720	SRS3294621	2018-05-14	2018-05-13	13	SAL_AB7542AA_AS	120628	120628	120628	4181	477	419	29	29	28	28	28	28	28	2
