#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
SAL_AB5642AA_AS.fasta	NODE_10_length_131061_cov_7.681772	12061	12194	+	SPI-8	4562-4695/6885	.........==....	0/0	1.95	79.10	SPIs_1-10_12_CT18		SPI-8	
SAL_AB5642AA_AS.fasta	NODE_10_length_131061_cov_7.681772	49764	50186	-	SPI-1	41435-41851/41851	......../.....=	2/6	1.00	95.75	SPIs_1-10_12_CT18		SPI-1	
SAL_AB5642AA_AS.fasta	NODE_10_length_131061_cov_7.681772	51822	52097	-	SPI-1	41174-41447/41851	......../.....=	2/2	0.65	94.93	SPIs_1-10_12_CT18		SPI-1	
SAL_AB5642AA_AS.fasta	NODE_10_length_131061_cov_7.681772	52159	53073	-	SPI-1	40271-41185/41851	..............=	0/0	2.19	98.47	SPIs_1-10_12_CT18		SPI-1	
SAL_AB5642AA_AS.fasta	NODE_10_length_131061_cov_7.681772	53174	54594	-	SPI-1	38653-40080/41851	......../....==	2/7	3.40	98.18	SPIs_1-10_12_CT18		SPI-1	
SAL_AB5642AA_AS.fasta	NODE_10_length_131061_cov_7.681772	54584	54696	-	SPI-1	38434-38546/41851	.............=.	0/0	0.27	93.81	SPIs_1-10_12_CT18		SPI-1	
SAL_AB5642AA_AS.fasta	NODE_10_length_131061_cov_7.681772	56345	90568	-	SPI-1	4223-38434/41851	.=======/=====.	8/16	81.74	98.48	SPIs_1-10_12_CT18		SPI-1	
SAL_AB5642AA_AS.fasta	NODE_10_length_131061_cov_7.681772	91722	95681	-	SPI-1	1-3960/41851	==.............	0/0	9.46	98.64	SPIs_1-10_12_CT18		SPI-1	
SAL_AB5642AA_AS.fasta	NODE_11_length_126305_cov_8.207359	79791	103199	+	SPI-4	1-23391/23391	========/======	2/18	100.00	97.77	SPIs_1-10_12_CT18		SPI-4	
SAL_AB5642AA_AS.fasta	NODE_12_length_126159_cov_7.715785	90243	90357	-	SPI-2	18268-18383/41605	......=./......	1/1	0.28	81.90	SPIs_1-10_12_CT18		SPI-2	
SAL_AB5642AA_AS.fasta	NODE_13_length_122602_cov_7.123717	31239	31450	+	SPI-3	4433-4644/16941	...==..........	0/0	1.25	98.11	SPIs_1-10_12_CT18		SPI-3	
SAL_AB5642AA_AS.fasta	NODE_13_length_122602_cov_7.123717	34207	38810	-	SPI-5	2896-7496/7496	.....===/======	2/3	61.38	97.72	SPIs_1-10_12_CT18		SPI-5	
SAL_AB5642AA_AS.fasta	NODE_13_length_122602_cov_7.123717	39241	41307	-	SPI-5	832-2897/7496	.=====../......	1/1	27.56	98.21	SPIs_1-10_12_CT18		SPI-5	
SAL_AB5642AA_AS.fasta	NODE_13_length_122602_cov_7.123717	41302	41427	-	SPI-5	1-126/7496	=..............	0/0	1.68	99.21	SPIs_1-10_12_CT18		SPI-5	
SAL_AB5642AA_AS.fasta	NODE_15_length_105704_cov_7.004630	1	1384	-	SPI-12	3909-5292/11100	.....===.......	0/0	12.47	98.41	SPIs_1-10_12_CT18		SPI-12	
SAL_AB5642AA_AS.fasta	NODE_15_length_105704_cov_7.004630	1468	2523	-	SPI-12	2804-3914/11100	...==.../......	4/57	9.50	92.90	SPIs_1-10_12_CT18		SPI-12	
SAL_AB5642AA_AS.fasta	NODE_15_length_105704_cov_7.004630	2472	2591	-	SPI-12	9235-9354/11100	............=..	0/0	1.08	97.50	SPIs_1-10_12_CT18		SPI-12	
SAL_AB5642AA_AS.fasta	NODE_15_length_105704_cov_7.004630	45429	45640	-	SPI-3	4431-4642/16941	...==..........	0/0	1.25	98.11	SPIs_1-10_12_CT18		SPI-3	
SAL_AB5642AA_AS.fasta	NODE_17_length_95499_cov_8.539000	538	8360	-	SPI-3	4710-12564/16941	...=====/===...	5/34	46.17	97.50	SPIs_1-10_12_CT18		SPI-3	
SAL_AB5642AA_AS.fasta	NODE_17_length_95499_cov_8.539000	8348	12997	-	SPI-3	1-4628/16941	====..../......	4/24	27.31	98.54	SPIs_1-10_12_CT18		SPI-3	
