Query	Subject	Percent identity	Length	Mismatches	Gaps	Query start	Query end	Subject start	Subject end	Expect value	Bit score
NODE_100_length_167_cov_13.375000	IncX-SG17-135.gb	100	12	0	0	53	64	532	521	0.52	22.9
NODE_100_length_167_cov_13.375000	IncX-SG17-135.gb	100	12	0	0	10	21	27295	27306	0.52	22.9
NODE_100_length_167_cov_13.375000	IncX-SG17-135.gb	100	12	0	0	143	154	27295	27306	0.52	22.9
NODE_100_length_167_cov_13.375000	IncX-SG17-135.gb	100	11	0	0	42	52	16399	16409	1.8	21.1
NODE_100_length_167_cov_13.375000	IncX-SG17-135.gb	100	11	0	0	49	59	17087	17097	1.8	21.1
NODE_101_length_157_cov_58.300000	IncX-SG17-135.gb	100	11	0	0	39	49	12047	12037	1.7	21.1
NODE_101_length_157_cov_58.300000	IncX-SG17-135.gb	100	11	0	0	58	68	20907	20917	1.7	21.1
NODE_102_length_157_cov_39.714286	IncX-SG17-135.gb	100	12	0	0	112	123	19246	19235	0.49	22.9
NODE_102_length_157_cov_39.714286	IncX-SG17-135.gb	100	11	0	0	114	124	20798	20808	1.7	21.1
NODE_103_length_147_cov_18.216667	IncX-SG17-135.gb	100	12	0	0	107	118	12005	12016	0.45	22.9
NODE_103_length_147_cov_18.216667	IncX-SG17-135.gb	100	11	0	0	114	124	1245	1255	1.6	21.1
NODE_106_length_140_cov_8.924528	IncX-SG17-135.gb	100	12	0	0	30	41	12016	12005	0.43	22.9
NODE_106_length_140_cov_8.924528	IncX-SG17-135.gb	100	11	0	0	24	34	1255	1245	1.5	21.1
NODE_106_length_140_cov_8.924528	IncX-SG17-135.gb	100	11	0	0	108	118	12220	12230	1.5	21.1
NODE_107_length_135_cov_11.083333	IncX-SG17-135.gb	100	13	0	0	19	31	7662	7674	0.12	24.7
NODE_107_length_135_cov_11.083333	IncX-SG17-135.gb	100	12	0	0	99	110	11006	10995	0.41	22.9
NODE_107_length_135_cov_11.083333	IncX-SG17-135.gb	100	11	0	0	106	116	7597	7587	1.4	21.1
NODE_107_length_135_cov_11.083333	IncX-SG17-135.gb	100	11	0	0	32	42	10015	10005	1.4	21.1
NODE_107_length_135_cov_11.083333	IncX-SG17-135.gb	100	11	0	0	102	112	20567	20577	1.4	21.1
NODE_108_length_133_cov_32.304348	IncX-SG17-135.gb	100	11	0	0	68	78	14211	14201	1.4	21.1
NODE_109_length_129_cov_29.023810	IncX-SG17-135.gb	100	11	0	0	38	48	3301	3311	1.4	21.1
NODE_109_length_129_cov_29.023810	IncX-SG17-135.gb	100	11	0	0	100	110	4536	4526	1.4	21.1
NODE_109_length_129_cov_29.023810	IncX-SG17-135.gb	100	11	0	0	10	20	14201	14211	1.4	21.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	87.5	32	3	1	74935	74966	10528	10498	0.027	37.4
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	95	20	1	0	85730	85749	2475	2456	1.2	31.9
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	94.737	19	1	0	43351	43369	3059	3041	4	30.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	94.737	19	1	0	576	594	5093	5111	4	30.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	84.615	26	4	0	123966	123991	5114	5139	4	30.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	87.5	24	3	0	113862	113885	7088	7111	4	30.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	90.476	21	2	0	9190	9210	7442	7422	4	30.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	90.476	21	2	0	136303	136323	7493	7513	4	30.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	94.737	19	1	0	52109	52127	10387	10405	4	30.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	100	16	0	0	53114	53129	10567	10582	4	30.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	100	16	0	0	125166	125181	12553	12538	4	30.1
NODE_10_length_174143_cov_8.508193	IncX-SG17-135.gb	94.737	19	1	0	109565	109583	23167	23149	4	30.1
NODE_110_length_129_cov_15.404762	IncX-SG17-135.gb	100	11	0	0	110	120	14211	14201	1.4	21.1
NODE_111_length_129_cov_14.809524	IncX-SG17-135.gb	100	11	0	0	100	110	4536	4526	1.4	21.1
NODE_111_length_129_cov_14.809524	IncX-SG17-135.gb	100	11	0	0	10	20	14201	14211	1.4	21.1
